Distance_(pixels),Gray_Value
530,251.556
531,252.000
532,247.667
533,250.222
534,254.111
535,250.556
536,246.556
537,241.778
538,240.222
539,242.333
540,243.556
541,244.333
542,246.556
543,249.889
544,246.111
545,243.333
546,246.667
547,247.444
548,244.000
549,244.000
550,247.222
551,244.444
552,242.556
553,244.111
554,246.000
555,247.556
556,242.444
557,242.333
558,244.000
559,255.000
560,255.000
561,255.000
562,254.000
563,246.667
564,244.667
565,237.000
566,237.333
567,238.667
568,242.111
569,242.111
570,240.444
571,244.000
572,245.444
573,246.111
574,245.111
575,239.111
576,237.000
577,235.222
578,237.556
579,239.222
580,238.778
581,238.111
582,240.556
583,241.556
584,243.778
585,246.667
586,245.222
587,243.444
588,243.222
589,245.000
590,247.889
591,244.556
592,240.556
593,241.000
594,242.778
595,242.222
596,242.556
597,243.889
598,243.778
599,244.444
600,248.889
601,242.556
602,243.333
603,243.556
604,247.222
605,254.778
606,246.222
607,232.333
608,231.111
609,238.333
610,240.667
611,240.556
612,239.778
613,242.222
614,247.000
615,252.222
616,251.889
617,242.778
618,239.444
619,240.333
620,243.556
621,243.667
622,245.222
623,244.000
624,243.778
625,244.000
626,242.556
627,245.333
628,239.444
629,241.444
630,244.222
631,246.778
632,249.556
633,250.444
634,250.000
635,251.889
636,252.556
637,255.000
638,254.222
639,252.556
640,246.222
641,248.111
642,241.556
643,240.556
644,240.111
645,247.333
646,252.778
647,247.333
648,248.444
649,249.556
650,244.556
651,243.111
652,240.778
653,242.111
654,250.222
655,252.444
656,247.556
657,249.222
658,244.889
659,238.889
660,236.444
661,231.222
662,241.556
663,247.000
664,251.000
665,253.111
666,253.111
667,255.000
668,255.000
669,251.778
670,255.000
671,255.000
672,254.667
673,255.000
674,251.667
675,243.556
676,250.111
677,255.000
678,248.889
679,243.778
680,243.222
681,245.222
682,251.444
683,251.667
684,247.778
685,247.444
686,255.000
687,255.000
688,245.667
689,244.556
690,241.889
691,238.444
692,238.778
693,238.222
694,238.444
695,242.333
696,245.556
697,255.000
698,255.000
699,255.000
700,248.889
701,249.111
702,249.000
703,246.556
704,244.556
705,239.667
706,242.556
707,242.556
708,242.889
709,243.667
710,249.667
711,245.111
712,245.556
713,253.778
714,253.667
715,246.556
716,244.889
717,244.111
718,241.556
719,246.222
720,245.333
721,243.000
722,243.222
723,250.444
724,252.111
725,245.333
726,241.333
727,243.222
728,241.222
729,242.000
730,242.333
731,241.444
732,242.889
733,243.889
734,244.556
735,242.556
736,242.333
737,243.889
738,240.778
739,245.444
740,247.444
741,242.111
742,242.444
743,242.333
744,243.111
745,246.667
746,248.222
747,255.000
748,255.000
749,255.000
750,248.222
751,248.889
752,246.778
753,246.333
754,247.222
755,246.889
756,248.556
757,250.778
758,247.889
759,247.889
760,250.778
761,253.222
762,252.111
763,245.556
764,240.000
765,240.000
766,240.333
767,242.222
768,245.000
769,245.667
770,243.111
771,240.000
772,239.778
773,240.889
774,240.889
775,241.667
776,240.889
777,243.444
778,243.667
779,245.222
780,242.889
781,241.444
782,243.333
783,244.333
784,249.667
785,252.556
786,244.444
787,241.667
788,242.222
789,241.556
790,237.667
791,240.000
792,239.556
793,244.222
794,243.222
795,245.667
796,243.556
797,244.000
798,242.556
799,243.333
800,244.889
801,244.000
802,243.889
803,242.444
804,241.667
805,240.889
806,242.778
807,243.444
808,239.778
809,240.222
810,243.111
811,247.333
812,249.222
813,246.333
814,239.556
815,230.778
816,228.222
817,227.000
818,228.778
819,225.778
820,229.889
821,226.000
822,225.111
823,227.889
824,233.889
825,248.889
826,248.889
827,254.889
828,254.556
829,245.556
830,240.667
831,239.889
832,239.556
833,246.111
834,248.444
835,247.222
836,248.111
837,242.778
838,236.778
839,244.333
840,254.222
841,255.000
842,247.556
843,249.111
844,235.556
845,232.333
846,235.778
847,229.000
848,232.111
849,238.000
850,241.000
851,243.444
852,232.444
853,231.556
854,235.333
855,241.333
856,233.222
857,227.222
858,219.111
859,217.778
860,215.222
861,222.111
862,241.667
863,254.667
864,246.778
865,230.000
866,217.778
867,218.667
868,229.333
869,227.222
870,220.000
871,221.778
872,232.889
873,222.222
874,208.778
875,205.222
876,213.889
877,212.111
878,209.444
879,211.111
880,212.889
881,213.000
882,213.111
883,217.889
884,208.111
885,204.111
886,214.222
887,208.889
888,205.111
889,200.333
890,203.000
891,204.222
892,202.111
893,201.444
894,201.556
895,203.889
896,199.222
897,202.778
898,207.889
899,207.111
900,205.000
901,215.889
902,213.333
903,202.333
904,199.667
905,208.556
906,205.444
907,195.111
908,193.556
909,201.889
910,216.222
911,226.222
912,227.333
913,227.333
914,223.667
915,214.667
916,184.000
917,186.889
918,192.889
919,198.000
920,191.000
921,186.444
922,185.222
923,182.000
924,179.000
925,180.667
926,186.556
927,188.556
928,181.667
929,173.222
930,174.222
931,183.222
932,181.111
933,177.556
934,174.000
935,176.111
936,171.000
937,178.556
938,185.444
939,178.444
940,184.111
941,182.778
942,171.667
943,170.778
944,172.556
945,168.889
946,167.111
947,165.333
948,169.000
949,165.889
950,169.444
951,154.222
952,159.333
953,153.111
954,154.222
955,148.444
956,150.556
957,148.667
958,150.667
959,148.667
960,146.444
961,148.556
962,147.000
963,148.556
964,146.444
965,143.333
966,141.556
967,141.556
968,139.667
969,137.889
970,135.111
971,131.333
972,129.889
973,125.889
974,126.889
975,129.444
976,131.111
977,130.889
978,129.333
979,126.111
980,118.667
981,121.333
982,111.667
983,110.889
984,107.556
985,110.111
986,118.667
987,119.889
988,108.778
989,110.444
990,103.111
991,100.333
992,102.778
993,96.667
994,90.000
995,88.778
996,84.333
997,81.556
998,79.556
999,77.667
1000,68.333
1001,68.111
1002,62.556
1003,58.444
1004,59.111
1005,62.889
1006,66.111
1007,66.556
1008,65.667
1009,65.000
1010,57.444
1011,53.556
1012,52.889
1013,49.444
1014,42.111
1015,39.889
1016,41.333
1017,39.667
1018,39.667
1019,37.556
1020,36.889
1021,38.111
1022,36.889
1023,37.222
1024,39.889
1025,38.889
1026,34.333
1027,33.889
1028,29.556
1029,29.667
1030,29.222
1031,30.444
1032,31.111
1033,33.444
1034,29.111
1035,28.444
1036,26.556
1037,25.444
1038,26.444
1039,28.000
1040,31.556
1041,34.444
1042,35.111
1043,34.889
1044,35.778
1045,37.778
1046,36.889
1047,37.111
1048,36.000
1049,31.889
1050,30.333
1051,29.000
1052,28.222
1053,26.778
1054,28.444
1055,29.778
1056,30.222
1057,30.889
1058,31.333
1059,33.444
1060,35.333
1061,36.000
1062,36.333
1063,35.889
1064,33.333
1065,31.556
1066,29.222
1067,29.778
1068,28.444
1069,31.444
1070,35.000
1071,37.222
1072,41.111
1073,44.333
1074,45.556
1075,46.111
1076,47.778
1077,47.111
1078,48.778
1079,52.111
1080,55.667
1081,56.000
1082,60.556
1083,62.667
1084,61.667
1085,59.667
1086,55.889
1087,53.111
1088,50.000
1089,51.667
1090,56.222
1091,60.000
1092,61.778
1093,63.667
1094,59.444
1095,58.556
1096,62.333
1097,62.778
1098,65.333
1099,68.667
1100,69.000
1101,66.667
1102,65.889
1103,67.667
1104,69.667
1105,68.333
1106,67.111
1107,65.778
1108,61.333
1109,58.778
1110,57.111
1111,61.667
1112,69.111
1113,76.889
1114,82.556
1115,83.889
1116,82.222
1117,80.222
1118,79.556
1119,80.778
1120,78.889
1121,80.778
1122,87.444
1123,90.778
1124,94.778
1125,94.778
1126,95.222
1127,93.222
1128,93.556
1129,92.333
1130,90.000
1131,91.778
1132,94.556
1133,99.667
1134,102.111
1135,105.667
1136,107.889
1137,99.889
1138,87.222
1139,81.111
1140,78.111
1141,78.556
1142,83.667
1143,88.889
1144,93.111
1145,96.667
1146,96.222
1147,93.000
1148,95.889
1149,97.222
1150,97.222
1151,97.778
1152,96.778
1153,96.667
1154,94.444
1155,91.222
1156,87.333
1157,85.000
1158,82.778
1159,83.667
1160,82.667
1161,85.222
1162,88.667
1163,86.667
1164,86.000
1165,87.222
1166,84.000
1167,80.333
1168,81.556
1169,78.444
1170,73.556
1171,72.778
1172,79.889
1173,84.667
1174,79.556
1175,77.111
1176,81.333
1177,87.111
1178,86.333
1179,81.111
1180,77.333
1181,74.556
1182,72.556
1183,75.444
1184,78.556
1185,81.222
1186,82.000
1187,87.444
1188,89.778
1189,87.000
1190,84.556
1191,79.333
1192,72.778
1193,68.667
1194,67.111
1195,63.889
1196,64.556
1197,68.778
1198,76.667
1199,82.111
1200,81.333
1201,77.111
1202,72.444
1203,70.556
1204,75.667
1205,73.889
1206,68.222
1207,66.444
1208,75.667
1209,73.333
1210,68.000
1211,67.889
1212,65.778
1213,64.333
1214,65.111
1215,66.444
1216,66.667
1217,72.556
1218,69.333
1219,64.000
1220,62.667
1221,63.222
1222,64.000
1223,61.667
1224,60.889
1225,57.333
1226,56.556
1227,56.111
1228,57.222
1229,58.778
1230,58.444
1231,53.667
1232,55.556
1233,57.333
